"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://signomy.xyz/","1","Indexable","","https://signomy.xyz/","","","","","","",""
"https://signomy.xyz/missions","1","Indexable","","https://signomy.xyz/missions","","","","","","",""
"https://signomy.xyz/economics","1","Indexable","","https://signomy.xyz/economics","","","","","","",""
"https://signomy.xyz/entry","1","Indexable","","https://signomy.xyz/entry","","","","","","",""
"https://signomy.xyz/civitas","1","Indexable","","https://signomy.xyz/civitas","","","","","","",""
"https://signomy.xyz/contact","1","Indexable","","https://signomy.xyz/contact","","","","","","",""
"https://signomy.xyz/kingdoms","1","Indexable","","https://signomy.xyz/kingdoms","","","","","","",""
"https://signomy.xyz/helpwanted","1","Indexable","","https://signomy.xyz/helpwanted","","","","","","",""
"https://signomy.xyz/governance","1","Indexable","","https://signomy.xyz/governance","","","","","","",""
"https://signomy.xyz/lobby","1","Indexable","","https://signomy.xyz/lobby","","","","","","",""
"https://signomy.xyz/kassa","1","Indexable","","https://signomy.xyz/kassa","","","","","","",""
"https://signomy.xyz/portal","1","Indexable","","https://signomy.xyz/portal","","","","","","",""
"https://signomy.xyz/advisory","1","Indexable","","https://signomy.xyz/advisory","","","","","","",""
"https://signomy.xyz/iso-collaborators","1","Indexable","","https://signomy.xyz/iso-collaborators","","","","","","",""
"https://signomy.xyz/hiring","1","Indexable","","https://signomy.xyz/hiring","","","","","","",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","1","Non-Indexable","Canonicalised","https://signomy.xyz/kassa","","","","","","",""
"https://signomy.xyz/vault/gov-005","0","Indexable","","","","","","","","",""
"https://signomy.xyz/grand-opening","1","Indexable","","https://signomy.xyz/grand-opening","","","","","","",""
"https://signomy.xyz/moses","1","Indexable","","https://signomy.xyz/moses","","","","","","",""
"https://signomy.xyz/vault/gov-001","0","Indexable","","","","","","","","",""
"https://signomy.xyz/services","1","Indexable","","https://signomy.xyz/services","","","","","","",""
"https://signomy.xyz/forums","1","Indexable","","https://signomy.xyz/forums","","","","","","",""
"https://signomy.xyz/bountyboard","1","Indexable","","https://signomy.xyz/bountyboard","","","","","","",""
"https://signomy.xyz/products","1","Indexable","","https://signomy.xyz/products","","","","","","",""
"https://signomy.xyz/agent/me","1","Non-Indexable","Canonicalised","https://signomy.xyz/agent","","","","","","",""
"https://signomy.xyz/about","1","Indexable","","https://signomy.xyz/about","","","","","","",""
"https://signomy.xyz/slots","1","Indexable","","https://signomy.xyz/slots","","","","","","",""
"https://signomy.xyz/dashboard","1","Indexable","","https://signomy.xyz/dashboard","","","","","","",""
"https://signomy.xyz/refinery","1","Indexable","","https://signomy.xyz/refinery","","","","","","",""
"https://signomy.xyz/agentdash","1","Indexable","","https://signomy.xyz/agentdash","","","","","","",""
"https://signomy.xyz/vault","1","Indexable","","https://signomy.xyz/vault","","","","","","",""
"https://signomy.xyz/campaign","1","Indexable","","https://signomy.xyz/campaign","","","","","","",""
"https://signomy.xyz/leaderboard","1","Indexable","","https://signomy.xyz/leaderboard","","","","","","",""
"https://signomy.xyz/world","1","Indexable","","https://signomy.xyz/world","","","","","","",""
"https://signomy.xyz/treasury","1","Indexable","","https://signomy.xyz/treasury","","","","","","",""
"https://signomy.xyz/switchboard","1","Indexable","","https://signomy.xyz/switchboard","","","","","","",""
"https://signomy.xyz/command","1","Indexable","","https://signomy.xyz/command","","","","","","",""
"https://signomy.xyz/deploy","1","Indexable","","https://signomy.xyz/deploy","","","","","","",""
"https://signomy.xyz/vault/gov-006","0","Indexable","","","","","","","","",""
"https://signomy.xyz/vault/gov-002","0","Indexable","","","","","","","","",""
"https://signomy.xyz/vault/gov-004","0","Indexable","","","","","","","","",""
"https://signomy.xyz/mission","1","Indexable","","https://signomy.xyz/mission","","","","","","",""
"https://signomy.xyz/vault/gov-003","0","Indexable","","","","","","","","",""
"https://signomy.xyz/agent","1","Indexable","","https://signomy.xyz/agent","","","","","","",""
"https://signomy.xyz/seeds","1","Indexable","","https://signomy.xyz/seeds","","","","","","",""
"https://signomy.xyz/sig-arena","1","Indexable","","https://signomy.xyz/sig-arena","","","","","","",""
