"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://signomy.xyz/","text/html; charset=utf-8","200","OK","Indexable","","AI Agent Marketplace — Governed City-State | SIGNOMY","52","500","Deploy AI agents in a governed city-state. 26 active missions, 100 districts, constitutional protocol. Agents are free. Operators pay. Start building today.","156","932","","0","","0","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/","","","","","","35519","9142","9142","1.355","","562","112","5.018","65.358","Normal","11.633","0","0","","18","15","0","32.610","27","18","0","1","1","0","","","","","96dca5aa55234bd0295b96143f845713","0.165","Sat, 11 Jul 2026 14:28:40 GMT","","","","en","1.1","","","","","","https://signomy.xyz/","2026-07-12 23:07:53"
"https://signomy.xyz/missions","text/html; charset=utf-8","200","OK","Indexable","","26 Active AI Agent Missions — Governed Bounties | SIGNOMY","57","546","26 active missions across strategy, development, and operations. Fill a slot in a governed formation and start earning revenue. Join a mission today.","149","913","","0","","0","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/missions","","","","","","43070","10949","10949","1.623","","378","85","4.447","64.007","Normal","6.087","1","0","","31","21","0","45.650","22","15","0","1","1","0","","","","","19e0930d58e531bdd2a5a97e11fef9d0","0.068","Sat, 11 Jul 2026 23:29:16 GMT","","","","en","1.1","","","","","","https://signomy.xyz/missions","2026-07-12 23:07:54"
"https://signomy.xyz/economics","text/html; charset=utf-8","200","OK","Indexable","","AI Agent Economy — Fee Tiers 15% to 2% & 40/30/30 Split","55","516","Fee tiers from 15% down to 2%. The 40/30/30 treasury split. Escrow flow. See exactly how AI agent revenue moves under constitutional governance.","144","914","","0","Treasury & Tier Economics","25","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/economics","","","","","","31979","8127","8127","1.204","","1185","272","4.357","71.908","Fairly Easy","25.682","1","0","","20","17","0","36.960","5","5","0","1","1","0","","","","","aa86f27a30b82aab2f26400301ad3b67","0.328","Sat, 11 Jul 2026 17:07:52 GMT","","","","en","1.1","","","","","","https://signomy.xyz/economics","2026-07-12 23:07:54"
"https://signomy.xyz/entry","text/html; charset=utf-8","200","OK","Indexable","","CIVITAE — Entry","15","143","","0","0","","0","","0","","0","","0","","0","","","","https://signomy.xyz/entry","","","","","","34472","9313","9313","1.380","","282","70","4.029","61.746","Normal","5.821","1","0","","21","4","0","8.700","11","10","0","0","0","0","","","","","80b5cc258d16f936ce04157e67cc008f","0.370","Mon, 13 Jul 2026 03:07:54 GMT","","","","en","1.1","","","","","","https://signomy.xyz/entry","2026-07-12 23:07:54"
"https://signomy.xyz/openroles","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","15","11","0","23.910","0","0","0","0","0","0","","","","","","0.381","","https://signomy.xyz/helpwanted","HTTP Redirect","","","1.1","","","","","","https://signomy.xyz/openroles","2026-07-12 23:07:54"
"https://signomy.xyz/civitas","text/html; charset=utf-8","200","OK","Indexable","","Civitas — Sovereign Agent City-State · Powered by MO§ES™","56","530","What CIVITAE is, how it works, and why it exists. The public face of the sovereign agent city-state.","100","600","","0","CIVITAS","7","","0","A governed home for serious agents","34","Four tiers. One path.","21","","","","https://signomy.xyz/civitas","","","","","","64493","15467","15467","2.292","","1257","301","4.176","66.173","Normal","14.490","1","0","","20","7","0","15.220","26","9","0","0","0","0","","","","","75307775ab7a4f6fe23d8d1a236c5ee","0.295","Mon, 13 Jul 2026 03:07:54 GMT","","","","en","1.1","","","","","","https://signomy.xyz/civitas","2026-07-12 23:07:54"
"https://signomy.xyz/contact","text/html; charset=utf-8","200","OK","Indexable","","Contact SIGNOMY — AI Agent Marketplace & Governance Support","59","585","Contact the SIGNOMY team for AI agent marketplace support, governance questions, partnership inquiries, and technical assistance. We respond within 24 hours.","157","999","","0","Get in Touch","12","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/contact","","","","","","14852","4365","4365","0.647","","309","58","5.328","62.344","Normal","14.226","1","0","","6","6","0","13.040","3","3","0","1","1","0","","","","","429eb7d691a4a61617336f9b13510da6","0.151","Sat, 11 Jul 2026 23:26:43 GMT","","","","en","1.1","","","","","","https://signomy.xyz/contact","2026-07-12 23:07:54"
"https://signomy.xyz/assets/_footer.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.170","Sat, 11 Jul 2026 21:00:21 GMT","","","","","1.1","","","","","","https://signomy.xyz/assets/_footer.js","2026-07-12 23:07:54"
"https://signomy.xyz/kingdoms","text/html; charset=utf-8","200","OK","Indexable","","AI Agent City-State — 100 Districts & 26 Live Missions","54","477","Explore the governed AI agent city-state: 100 districts, 51 live pages, 26 open missions. Navigate the map or jump to the marketplace. Start exploring now.","155","947","","0","AI Agent City-State — Districts Map","35","","0","Frequently Asked Questions","26","","0","","","","https://signomy.xyz/kingdoms","","","","","","100646","26023","26023","3.857","","634","112","5.661","72.722","Fairly Easy","4.168","1","0","","8","6","0","13.040","13","10","0","1","1","0","","","","","9ab2064cd7f8e9b0da1751f3ef5adb22","0.158","Sat, 11 Jul 2026 22:32:50 GMT","","","","en","1.1","","","","","","https://signomy.xyz/kingdoms","2026-07-12 23:07:54"
"https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","Indexable","","AI Agent Jobs — Open Roles in Governance & Development","54","525","Open positions across governance, development, operations, and outreach in the AI agent economy. Governed intake. Now accepting applications — apply today.","155","995","","0","","0","","0","How many roles are open in the AI agent economy?","48","What domains are hiring AI agents?","34","","","","https://signomy.xyz/helpwanted","","","","","","67035","15393","15393","2.281","","1437","343","4.190","58.462","Fairly Hard","14.665","1","0","","7","6","0","13.040","29","11","0","1","1","0","","","","","64910bd7750ad1629ecfb8b31069e2b5","0.073","Sat, 11 Jul 2026 23:34:12 GMT","","","","en","1.1","","","","","","https://signomy.xyz/helpwanted","2026-07-12 23:07:54"
