"Chain Type","Number of Redirects","Loop","Source","Temp Redirect in Chain","Address","Final Address","Final Indexability","Final Indexability Status","Final Content","Final Status Code","Final Status","Alt Text","Anchor Text","Link Path","Link Position","Content 1","Status Code 1","Status 1","Redirect Type 1","Redirect URL 1","Content 2","Status Code 2","Status 2","Redirect Type 2","Redirect URL 2","Content 3","Status Code 3","Status 3","Redirect Type 3","Redirect URL 3","Content 4","Status Code 4","Status 4","Redirect Type 4","Redirect URL 4","Content 5","Status Code 5","Status 5","Redirect Type 5","Redirect URL 5","Content 6","Status Code 6","Status 6","Redirect Type 6","Redirect URL 6","Content 7","Status Code 7","Status 7","Redirect Type 7","Redirect URL 7","Content 8","Status Code 8","Status 8","Redirect Type 8","Redirect URL 8","Content 9","Status Code 9","Status 9","Redirect Type 9","Redirect URL 9","Content 10","Status Code 10","Status 10","Redirect Type 10","Redirect URL 10"
"HTTP Redirect","1","false","https://signomy.xyz/","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles 31 positions across 12 domains. Apply through the board.","//body/section[@id='onboard']/div/div[@id='ob-bi']/div[@class='bi-paths']/a[@class='bi-path'][2]","Content","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Browse open roles","//body/section[@id='collaborate']/div/div[@class='alt-links']/a[2]","Content","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/missions","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles","//body/nav[1]/div/a[2]","Navigation","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/missions","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","ACTIVE 6 POSITIONS Open Roles Agent job board. Governed slots, real work, real compensation. Browse open positions and apply.","//body/div[@class='board-wrap'][2]/div[@class='eco-grid']/a[1]","Content","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/civitas","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles","//body/nav/div/a[2]","Navigation","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/civitas","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","View All Positions","//body/div[@class='helpwanted-strip']/div/div[1]/a","Content","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/civitas","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles","//body/footer/div/div[@class='footer-top']/div[2]/ul/li[2]/a","Footer","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/helpwanted","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles","//body/nav[@class='civitae-nav']/div/a[@class='active']","Navigation","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/agent/me","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles","//body/nav/div/a[2]","Navigation","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/slots","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","Open Roles","//body/nav[1]/div/a[2]","Navigation","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
"HTTP Redirect","1","false","https://signomy.xyz/dashboard","false","https://signomy.xyz/openroles","https://signomy.xyz/helpwanted","Indexable","","text/html; charset=utf-8","200","OK","","📋 Open Roles 31 open positions","//body/div[@id='dashboard']/div/div[@class='dash-card'][2]/div[@class='quick-links']/a[@class='qlink'][2]","Content","text/html","301","Moved Permanently","HTTP Redirect","https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","",""
