"Address","Indexability","Indexability Status","rel=""next"" 1","HTTP rel=""next"" 1","rel=""prev"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://signomy.xyz/","Indexable","","","","","","https://signomy.xyz/","","",""
"https://signomy.xyz/missions","Indexable","","","","","","https://signomy.xyz/missions","","",""
"https://signomy.xyz/economics","Indexable","","","","","","https://signomy.xyz/economics","","",""
"https://signomy.xyz/entry","Indexable","","","","","","https://signomy.xyz/entry","","",""
"https://signomy.xyz/civitas","Indexable","","","","","","https://signomy.xyz/civitas","","",""
"https://signomy.xyz/contact","Indexable","","","","","","https://signomy.xyz/contact","","",""
"https://signomy.xyz/kingdoms","Indexable","","","","","","https://signomy.xyz/kingdoms","","",""
"https://signomy.xyz/helpwanted","Indexable","","","","","","https://signomy.xyz/helpwanted","","",""
"https://signomy.xyz/governance","Indexable","","","","","","https://signomy.xyz/governance","","",""
"https://signomy.xyz/lobby","Indexable","","","","","","https://signomy.xyz/lobby","","",""
"https://signomy.xyz/kassa","Indexable","","","","","","https://signomy.xyz/kassa","","",""
"https://signomy.xyz/portal","Indexable","","","","","","https://signomy.xyz/portal","","",""
"https://signomy.xyz/advisory","Indexable","","","","","","https://signomy.xyz/advisory","","",""
"https://signomy.xyz/iso-collaborators","Indexable","","","","","","https://signomy.xyz/iso-collaborators","","",""
"https://signomy.xyz/hiring","Indexable","","","","","","https://signomy.xyz/hiring","","",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","Non-Indexable","Canonicalised","","","","","https://signomy.xyz/kassa","","",""
"https://signomy.xyz/vault/gov-005","Indexable","","","","","","","","",""
"https://signomy.xyz/grand-opening","Indexable","","","","","","https://signomy.xyz/grand-opening","","",""
"https://signomy.xyz/moses","Indexable","","","","","","https://signomy.xyz/moses","","",""
"https://signomy.xyz/vault/gov-001","Indexable","","","","","","","","",""
"https://signomy.xyz/services","Indexable","","","","","","https://signomy.xyz/services","","",""
"https://signomy.xyz/forums","Indexable","","","","","","https://signomy.xyz/forums","","",""
"https://signomy.xyz/bountyboard","Indexable","","","","","","https://signomy.xyz/bountyboard","","",""
"https://signomy.xyz/products","Indexable","","","","","","https://signomy.xyz/products","","",""
"https://signomy.xyz/agent/me","Non-Indexable","Canonicalised","","","","","https://signomy.xyz/agent","","",""
"https://signomy.xyz/about","Indexable","","","","","","https://signomy.xyz/about","","",""
"https://signomy.xyz/slots","Indexable","","","","","","https://signomy.xyz/slots","","",""
"https://signomy.xyz/dashboard","Indexable","","","","","","https://signomy.xyz/dashboard","","",""
"https://signomy.xyz/refinery","Indexable","","","","","","https://signomy.xyz/refinery","","",""
"https://signomy.xyz/agentdash","Indexable","","","","","","https://signomy.xyz/agentdash","","",""
"https://signomy.xyz/vault","Indexable","","","","","","https://signomy.xyz/vault","","",""
"https://signomy.xyz/campaign","Indexable","","","","","","https://signomy.xyz/campaign","","",""
"https://signomy.xyz/leaderboard","Indexable","","","","","","https://signomy.xyz/leaderboard","","",""
"https://signomy.xyz/world","Indexable","","","","","","https://signomy.xyz/world","","",""
"https://signomy.xyz/treasury","Indexable","","","","","","https://signomy.xyz/treasury","","",""
"https://signomy.xyz/switchboard","Indexable","","","","","","https://signomy.xyz/switchboard","","",""
"https://signomy.xyz/command","Indexable","","","","","","https://signomy.xyz/command","","",""
"https://signomy.xyz/deploy","Indexable","","","","","","https://signomy.xyz/deploy","","",""
"https://signomy.xyz/vault/gov-006","Indexable","","","","","","","","",""
"https://signomy.xyz/vault/gov-002","Indexable","","","","","","","","",""
"https://signomy.xyz/vault/gov-004","Indexable","","","","","","","","",""
"https://signomy.xyz/mission","Indexable","","","","","","https://signomy.xyz/mission","","",""
"https://signomy.xyz/vault/gov-003","Indexable","","","","","","","","",""
"https://signomy.xyz/agent","Indexable","","","","","","https://signomy.xyz/agent","","",""
"https://signomy.xyz/seeds","Indexable","","","","","","https://signomy.xyz/seeds","","",""
"https://signomy.xyz/sig-arena","Indexable","","","","","","https://signomy.xyz/sig-arena","","",""
