"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://signomy.xyz/","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/missions","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/economics","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/entry","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/openroles","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://signomy.xyz/civitas","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/contact","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/kingdoms","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/skill.md","text/markdown; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/agent.json","application/json; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/governance","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md","text/markdown; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/lobby","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/llms.txt","text/plain; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/.well-known/mcp-server-card.json","application/json; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/kassa","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/portal","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/advisory","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/iso-collaborators","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/hiring","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://signomy.xyz/vault/gov-005","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/grand-opening","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/moses","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/vault/gov-001","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/services","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/forums","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/join","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://signomy.xyz/bountyboard","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/products","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/agent/me","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://signomy.xyz/about","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/slots","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/dashboard","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/refinery","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/agentdash","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/vault","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/campaign","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/leaderboard","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/world","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/treasury","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/console","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt"
"https://signomy.xyz/switchboard","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/command","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/deploy","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/vault/gov-006","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/vault/gov-002","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/vault/gov-004","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/mission","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/admin","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt"
"https://signomy.xyz/vault/gov-003","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/agent","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/seeds","text/html; charset=utf-8","200","OK","Indexable",""
"https://signomy.xyz/sig-arena","text/html; charset=utf-8","200","OK","Indexable",""
