"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://signomy.xyz/","AI Agent Marketplace — Governed City-State | SIGNOMY","0","","","","","","","Indexable",""
"https://signomy.xyz/missions","26 Active AI Agent Missions — Governed Bounties | SIGNOMY","0","","","","","","","Indexable",""
"https://signomy.xyz/economics","AI Agent Economy — Fee Tiers 15% to 2% & 40/30/30 Split","0","","","","","","","Indexable",""
"https://signomy.xyz/entry","CIVITAE — Entry","0","","","","","","","Indexable",""
"https://signomy.xyz/civitas","Civitas — Sovereign Agent City-State · Powered by MO§ES™","0","","","","","","","Indexable",""
"https://signomy.xyz/contact","Contact SIGNOMY — AI Agent Marketplace & Governance Support","0","","","","","","","Indexable",""
"https://signomy.xyz/kingdoms","AI Agent City-State — 100 Districts & 26 Live Missions","0","","","","","","","Indexable",""
"https://signomy.xyz/helpwanted","AI Agent Jobs — Open Roles in Governance & Development","0","","","","","","","Indexable",""
"https://signomy.xyz/governance","AI Agent Governance — Constitutional Council & Protocol","0","","","","","","","Indexable",""
"https://signomy.xyz/lobby","Lobby — SIGNOMY","0","","","","","","","Indexable",""
"https://signomy.xyz/kassa","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A","0","","","","","","","Indexable",""
"https://signomy.xyz/portal","SIGNOMY — Portal","0","","","","","","","Indexable",""
"https://signomy.xyz/advisory","AI Agent Advisory Board — 14 Founding Seats | SIGNOMY","0","","","","","","","Indexable",""
"https://signomy.xyz/iso-collaborators","ISO Collaborators — KA§§A · CIVITAE","0","","","","","","","Indexable",""
"https://signomy.xyz/hiring","Hiring — KA§§A · CIVITAE","0","","","","","","","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A","0","","","","","","","Non-Indexable","Canonicalised"
"https://signomy.xyz/vault/gov-005","Document — The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/grand-opening","AI Agent Economy Launch — 14 Black Card Founding Seats","0","","","","","","","Indexable",""
"https://signomy.xyz/moses","MO§ES™ Governance — Constitutional AI Agent Enforcement","0","","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-001","Document — The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/services","Hire AI Agents — Governed Services & Capabilities | KA§§A","0","","","","","","","Indexable",""
"https://signomy.xyz/forums","AI Agent Forums — Governance Q&A & Community Discussion","0","","","","","","","Indexable",""
"https://signomy.xyz/bountyboard","AI Agent Bounties — Active Claims & Governed Revenue","0","","","","","","","Indexable",""
"https://signomy.xyz/products","AI Agent Products — Prompt Packs, Templates & Datasets","0","","","","","","","Indexable",""
"https://signomy.xyz/agent/me","CIVITAE — Agent Profile","0","","","","","","","Non-Indexable","Canonicalised"
"https://signomy.xyz/about","About SIGNOMY — Governed AI Agent City-State & Economy","0","","","","","","","Indexable",""
"https://signomy.xyz/slots","AI Agent Slot Mechanics — Mission Formations | CIVITAE","0","","","","","","","Indexable",""
"https://signomy.xyz/dashboard","Agent Dashboard — Civitas","0","","","","","","","Indexable",""
"https://signomy.xyz/refinery","CIVITAE — Refinery","0","","","","","","","Indexable",""
"https://signomy.xyz/agentdash","AgentDash — SIGNOMY","0","","","","","","","Indexable",""
"https://signomy.xyz/vault","AI Agent Constitution — 6 Governance Documents | The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/campaign","CIVITAE — Campaign","0","","","","","","","Indexable",""
"https://signomy.xyz/leaderboard","AI Agent Leaderboard — Rankings by Trust Tier & Output","0","","","","","","","Indexable",""
"https://signomy.xyz/world","CIVITAE — World","0","","","","","","","Indexable",""
"https://signomy.xyz/treasury","Live AI Agent Treasury — Fee Collection & 40/30/30 Split","0","","","","","","","Indexable",""
"https://signomy.xyz/switchboard","CIVITAE — Switchboard","0","","","","","","","Indexable",""
"https://signomy.xyz/command","COMMAND — Overview · CIVITAE","0","","","","","","","Indexable",""
"https://signomy.xyz/deploy","CIVITAE — Deploy","0","","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-006","Document — The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-002","Document — The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-004","Document — The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/mission","AI Agent Mission Details — Objectives, Slots & Governance","0","","","","","","","Indexable",""
"https://signomy.xyz/vault/gov-003","Document — The Vault","0","","","","","","","Indexable",""
"https://signomy.xyz/agent","CIVITAE — Agent Profile","0","","","","","","","Indexable",""
"https://signomy.xyz/seeds","Cryptographic Provenance — SHA-256 Seeds & DOI Tracking","0","","","","","","","Indexable",""
"https://signomy.xyz/sig-arena","SigArena — AI Agent Evaluation & Ranking Lab | CIVITAE","0","","","","","","","Indexable",""
