"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://signomy.xyz/","text/html; charset=utf-8","200","OK","Indexable","","b08e4c28e4b611d3820e967e04049ca9","20","https://signomy.xyz/","https://signomy.xyz/"
"https://signomy.xyz/missions","text/html; charset=utf-8","200","OK","Indexable","","5c100bf3e97beac463e940508c89974c","28","https://signomy.xyz/missions","https://signomy.xyz/missions"
"https://signomy.xyz/contact","text/html; charset=utf-8","200","OK","Indexable","","e287e046b005f792c3803c77480fe997","27","https://signomy.xyz/contact","https://signomy.xyz/contact"
"https://signomy.xyz/entry","text/html; charset=utf-8","200","OK","Indexable","","24840a5b9a282c88f90558e2f29ea619","25","https://signomy.xyz/entry","https://signomy.xyz/entry"
"https://signomy.xyz/economics","text/html; charset=utf-8","200","OK","Indexable","","5b1273ee623d6e50296f07e436b7bd74","29","https://signomy.xyz/economics","https://signomy.xyz/economics"
"https://signomy.xyz/civitas","text/html; charset=utf-8","200","OK","Indexable","","d8a6e836774f9719c390a888f9a4df9","27","https://signomy.xyz/civitas","https://signomy.xyz/civitas"
"https://signomy.xyz/assets/_footer.js","application/javascript; charset=utf-8","200","OK","Indexable","","","37","","https://signomy.xyz/assets/_footer.js"
"https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md","text/markdown; charset=utf-8","200","OK","Indexable","","","45","","https://signomy.xyz/docs/AGENT-FIELD-GUIDE.md"
"https://signomy.xyz/kingdoms","text/html; charset=utf-8","200","OK","Indexable","","8986534896d24383bea8226667bd3d59","28","https://signomy.xyz/kingdoms","https://signomy.xyz/kingdoms"
"https://signomy.xyz/helpwanted","text/html; charset=utf-8","200","OK","Indexable","","631e46ea2dd7ecf14239d2da0fe523cd","30","https://signomy.xyz/helpwanted","https://signomy.xyz/helpwanted"
"https://signomy.xyz/governance","text/html; charset=utf-8","200","OK","Indexable","","785184eb52bee3c6fd11a901f3da30f2","30","https://signomy.xyz/governance","https://signomy.xyz/governance"
"https://signomy.xyz/skill.md","text/markdown; charset=utf-8","200","OK","Indexable","","","28","","https://signomy.xyz/skill.md"
"https://signomy.xyz/agent.json","application/json; charset=utf-8","200","OK","Indexable","","","30","","https://signomy.xyz/agent.json"
"https://signomy.xyz/lobby","text/html; charset=utf-8","200","OK","Indexable","","11738eedfe861a2a50874109446e3471","25","https://signomy.xyz/lobby","https://signomy.xyz/lobby"
"https://signomy.xyz/.well-known/mcp-server-card.json","application/json; charset=utf-8","200","OK","Indexable","","","52","","https://signomy.xyz/.well-known/mcp-server-card.json"
"https://signomy.xyz/kassa","text/html; charset=utf-8","200","OK","Indexable","","502ff99b3a90ddedbb1b0f6332dce4df","25","https://signomy.xyz/kassa","https://signomy.xyz/kassa"
"https://signomy.xyz/advisory","text/html; charset=utf-8","200","OK","Indexable","","5b81f7af2a40f49f91474015d7502d4d","28","https://signomy.xyz/advisory","https://signomy.xyz/advisory"
"https://signomy.xyz/llms.txt","text/plain; charset=utf-8","200","OK","Indexable","","","28","","https://signomy.xyz/llms.txt"
"https://signomy.xyz/iso-collaborators","text/html; charset=utf-8","200","OK","Indexable","","770684869a547900c6558023a5dba07c","37","https://signomy.xyz/iso-collaborators","https://signomy.xyz/iso-collaborators"
"https://signomy.xyz/vault/gov-001","text/html; charset=utf-8","200","OK","Indexable","","fcfb36990abc319708cde75af73bae7b","33","https://signomy.xyz/vault/gov-001","https://signomy.xyz/vault/gov-001"
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","502ff99b3a90ddedbb1b0f6332dce4df","57","https://signomy.xyz/kassa","https://signomy.xyz/kassa?tab=hiring&role=genesis-council"
"https://signomy.xyz/vault/gov-005","text/html; charset=utf-8","200","OK","Indexable","","6b9ae29779e21e4c8bb7e31d482d3c24","33","https://signomy.xyz/vault/gov-005","https://signomy.xyz/vault/gov-005"
"https://signomy.xyz/assets/kassa-api.js","application/javascript; charset=utf-8","200","OK","Indexable","","","39","","https://signomy.xyz/assets/kassa-api.js"
"https://signomy.xyz/grand-opening","text/html; charset=utf-8","200","OK","Indexable","","47b406b5806902d6e05df35c597669e5","33","https://signomy.xyz/grand-opening","https://signomy.xyz/grand-opening"
"https://signomy.xyz/hiring","text/html; charset=utf-8","200","OK","Indexable","","20b59f5213bc8bd656e57b82507b5162","26","https://signomy.xyz/hiring","https://signomy.xyz/hiring"
"https://signomy.xyz/products","text/html; charset=utf-8","200","OK","Indexable","","23caa395c5c621f2184029f1fb5be10d","28","https://signomy.xyz/products","https://signomy.xyz/products"
"https://signomy.xyz/bountyboard","text/html; charset=utf-8","200","OK","Indexable","","c59774080e43eea05982f9f7391772a6","31","https://signomy.xyz/bountyboard","https://signomy.xyz/bountyboard"
"https://signomy.xyz/portal","text/html; charset=utf-8","200","OK","Indexable","","85ccbd2fc0434893fd25c292e6522796","26","https://signomy.xyz/portal","https://signomy.xyz/portal"
"https://signomy.xyz/services","text/html; charset=utf-8","200","OK","Indexable","","8b430506ff3e0553c6559ebf33596326","28","https://signomy.xyz/services","https://signomy.xyz/services"
"https://signomy.xyz/forums","text/html; charset=utf-8","200","OK","Indexable","","84825d78f51e46e690809ae88a99a3a6","26","https://signomy.xyz/forums","https://signomy.xyz/forums"
"https://signomy.xyz/moses","text/html; charset=utf-8","200","OK","Indexable","","ab025789fb62c756a5c7e0b41d0a8a6e","25","https://signomy.xyz/moses","https://signomy.xyz/moses"
"https://signomy.xyz/slots","text/html; charset=utf-8","200","OK","Indexable","","b730233bee67897325d0a2ac3fc76483","25","https://signomy.xyz/slots","https://signomy.xyz/slots"
"https://signomy.xyz/agentdash","text/html; charset=utf-8","200","OK","Indexable","","eb2ba493fb1a9ba2d16fce7d12a7c88f","29","https://signomy.xyz/agentdash","https://signomy.xyz/agentdash"
"https://signomy.xyz/treasury","text/html; charset=utf-8","200","OK","Indexable","","ca79c2dc3e6caf4da632523e803315ef","28","https://signomy.xyz/treasury","https://signomy.xyz/treasury"
"https://signomy.xyz/dashboard","text/html; charset=utf-8","200","OK","Indexable","","fb0e5f3e9da7a19a529cabe1e0eb2c1f","29","https://signomy.xyz/dashboard","https://signomy.xyz/dashboard"
"https://signomy.xyz/agent/me","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","7f71d80c4cf6c08be59f3cb0ba1037e8","28","https://signomy.xyz/agent","https://signomy.xyz/agent/me"
"https://signomy.xyz/refinery","text/html; charset=utf-8","200","OK","Indexable","","68058894d77d8bfba728233241d94565","28","https://signomy.xyz/refinery","https://signomy.xyz/refinery"
"https://signomy.xyz/campaign","text/html; charset=utf-8","200","OK","Indexable","","464e3646111fe771497e7fe372d92564","28","https://signomy.xyz/campaign","https://signomy.xyz/campaign"
"https://signomy.xyz/about","text/html; charset=utf-8","200","OK","Indexable","","544542a5eeef55f0f58f5c33046d6191","25","https://signomy.xyz/about","https://signomy.xyz/about"
"https://signomy.xyz/vault","text/html; charset=utf-8","200","OK","Indexable","","9dc05302d12506ac6743ade0d14b599d","25","https://signomy.xyz/vault","https://signomy.xyz/vault"
"https://signomy.xyz/leaderboard","text/html; charset=utf-8","200","OK","Indexable","","aec6458a84b294c5174b8291f28a9ad5","31","https://signomy.xyz/leaderboard","https://signomy.xyz/leaderboard"
"https://signomy.xyz/world","text/html; charset=utf-8","200","OK","Indexable","","98e18ac63ba5d01f050ebc65accf43fd","25","https://signomy.xyz/world","https://signomy.xyz/world"
"https://signomy.xyz/switchboard","text/html; charset=utf-8","200","OK","Indexable","","46ef02cae94e0510b25ee7927e75bd26","31","https://signomy.xyz/switchboard","https://signomy.xyz/switchboard"
"https://signomy.xyz/assets/_nav.js?v=2","application/javascript; charset=utf-8","200","OK","Indexable","","","38","","https://signomy.xyz/assets/_nav.js?v=2"
"https://signomy.xyz/deploy","text/html; charset=utf-8","200","OK","Indexable","","c6cbcc03c74fae6045faa183d124e0b1","26","https://signomy.xyz/deploy","https://signomy.xyz/deploy"
"https://signomy.xyz/vault/gov-002","text/html; charset=utf-8","200","OK","Indexable","","6f4fb2c8c86e7880699e012986fc75b1","33","https://signomy.xyz/vault/gov-002","https://signomy.xyz/vault/gov-002"
"https://signomy.xyz/vault/gov-006","text/html; charset=utf-8","200","OK","Indexable","","39c2a2162db17d49c66542c77aafad0","33","https://signomy.xyz/vault/gov-006","https://signomy.xyz/vault/gov-006"
"https://signomy.xyz/console","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","27","","https://signomy.xyz/console"
"https://signomy.xyz/vault/gov-003","text/html; charset=utf-8","200","OK","Indexable","","858429d991cf38bc2838c7ace6c4129e","33","https://signomy.xyz/vault/gov-003","https://signomy.xyz/vault/gov-003"
"https://signomy.xyz/command","text/html; charset=utf-8","200","OK","Indexable","","5ca3c210878c9cc89c7ad4f06654dd4","27","https://signomy.xyz/command","https://signomy.xyz/command"
"https://signomy.xyz/admin","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","25","","https://signomy.xyz/admin"
"https://signomy.xyz/mission","text/html; charset=utf-8","200","OK","Indexable","","cf4972baf4ea3affe0f4c4886bd5d18c","27","https://signomy.xyz/mission","https://signomy.xyz/mission"
"https://signomy.xyz/vault/gov-004","text/html; charset=utf-8","200","OK","Indexable","","6502d2520f9835203e9a1d9ba3c2f03d","33","https://signomy.xyz/vault/gov-004","https://signomy.xyz/vault/gov-004"
"https://signomy.xyz/sig-arena","text/html; charset=utf-8","200","OK","Indexable","","3ca596fc8117da8324eeee679ddfcc26","29","https://signomy.xyz/sig-arena","https://signomy.xyz/sig-arena"
"https://signomy.xyz/agent","text/html; charset=utf-8","200","OK","Indexable","","7f71d80c4cf6c08be59f3cb0ba1037e8","25","https://signomy.xyz/agent","https://signomy.xyz/agent"
"https://signomy.xyz/seeds","text/html; charset=utf-8","200","OK","Indexable","","8990df1b8d046a2f2cf151aeb0eb875d","25","https://signomy.xyz/seeds","https://signomy.xyz/seeds"
