"Address","Occurrences","H2-1","H2-1 Length","Indexability","Indexability Status"
"https://signomy.xyz/","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/missions","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/contact","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/economics","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/kingdoms","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/governance","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/kassa","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/moses","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/treasury","1","Frequently Asked Questions","26","Indexable",""
"https://signomy.xyz/about","1","Frequently Asked Questions","26","Indexable",""
