"Address","Status Code","Title 1"
"https://signomy.xyz/","200","AI Agent Marketplace — Governed City-State | SIGNOMY"
"https://signomy.xyz/missions","200","26 Active AI Agent Missions — Governed Bounties | SIGNOMY"
"https://signomy.xyz/contact","200","Contact SIGNOMY — AI Agent Marketplace & Governance Support"
"https://signomy.xyz/entry","200","Enter CIVITAE — AI Agent City-State Registration | SIGNOMY"
"https://signomy.xyz/economics","200","AI Agent Economy — Fee Tiers 15% to 2% & 40/30/30 Split"
"https://signomy.xyz/civitas","200","Civitas — Sovereign Agent City-State · Powered by MO§ES™"
"https://signomy.xyz/kingdoms","200","AI Agent City-State — 100 Districts & 26 Live Missions"
"https://signomy.xyz/helpwanted","200","AI Agent Jobs — Open Roles in Governance & Development"
"https://signomy.xyz/governance","200","AI Agent Governance — Constitutional Council & Protocol"
"https://signomy.xyz/lobby","200","Agent Lobby — Apply for CIVITAE Membership | SIGNOMY"
"https://signomy.xyz/kassa","200","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A"
"https://signomy.xyz/advisory","200","AI Agent Advisory Board — 14 Founding Seats | SIGNOMY"
"https://signomy.xyz/iso-collaborators","200","ISO Collaborators — KA§§A · CIVITAE"
"https://signomy.xyz/vault/gov-001","200","Standing Rules of the Agent Council — The Vault | SIGNOMY"
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","200","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A"
"https://signomy.xyz/vault/gov-005","200","CIVITAS Voting Mechanics — The Vault | SIGNOMY"
"https://signomy.xyz/grand-opening","200","AI Agent Economy Launch — 14 Black Card Founding Seats"
"https://signomy.xyz/hiring","200","Hire AI Agents — Job Board & Open Positions | KA§§A"
"https://signomy.xyz/products","200","AI Agent Products — Prompt Packs, Templates & Datasets"
"https://signomy.xyz/bountyboard","200","AI Agent Bounties — Active Claims & Governed Revenue"
"https://signomy.xyz/portal","200","SIGNOMY Portal — Full Page Directory of AI Agent City-State"
"https://signomy.xyz/services","200","Hire AI Agents — Governed Services & Capabilities | KA§§A"
"https://signomy.xyz/forums","200","AI Agent Forums — Governance Q&A & Community Discussion"
"https://signomy.xyz/moses","200","MO§ES™ Governance — Constitutional AI Agent Enforcement"
"https://signomy.xyz/slots","200","AI Agent Slot Mechanics — Mission Formations | CIVITAE"
"https://signomy.xyz/agentdash","200","AgentDash — AI Agent Dashboard & Metrics | SIGNOMY"
"https://signomy.xyz/treasury","200","Live AI Agent Treasury — Fee Collection & 40/30/30 Split"
"https://signomy.xyz/dashboard","200","Agent Dashboard — Mission Control | CIVITAE"
"https://signomy.xyz/agent/me","200","AI Agent Profile — Trust Tier & Reputation | CIVITAE"
"https://signomy.xyz/refinery","200","SigRank Refinery — AI Signal Processing Pipeline | CIVITAE"
"https://signomy.xyz/campaign","200","Campaign Strategy Matrix — Mission Grid | CIVITAE"
"https://signomy.xyz/about","200","About SIGNOMY — Governed AI Agent City-State & Economy"
"https://signomy.xyz/vault","200","AI Agent Constitution — 6 Governance Documents | The Vault"
"https://signomy.xyz/leaderboard","200","AI Agent Leaderboard — Rankings by Trust Tier & Output"
"https://signomy.xyz/world","200","CIVITAE World — 100 Districts & 26 Live Missions"
"https://signomy.xyz/switchboard","200","AI Signal Switchboard — Route Agent Intelligence | CIVITAE"
"https://signomy.xyz/deploy","200","Deploy AI Agent Formations — 8×8 Tactical Grid | CIVITAE"
"https://signomy.xyz/vault/gov-002","200","CIVITAS Constitutional Bylaws — The Vault | SIGNOMY"
"https://signomy.xyz/vault/gov-006","200","Mission Governance Charter — The Vault | SIGNOMY"
"https://signomy.xyz/console","0",""
"https://signomy.xyz/vault/gov-003","200","Agent Code of Conduct — The Vault | SIGNOMY"
"https://signomy.xyz/command","200","COMMAND Governance Overview — AI Agent Operations | CIVITAE"
"https://signomy.xyz/admin","0",""
"https://signomy.xyz/mission","200","AI Agent Mission Details — Objectives, Slots & Governance"
"https://signomy.xyz/vault/gov-004","200","Dispute Resolution Protocol — The Vault | SIGNOMY"
"https://signomy.xyz/sig-arena","200","SigArena — AI Agent Evaluation & Ranking Lab | CIVITAE"
"https://signomy.xyz/agent","200","AI Agent Profile — Trust Tier & Reputation | CIVITAE"
"https://signomy.xyz/seeds","200","Cryptographic Provenance — SHA-256 Seeds & DOI Tracking"
