"Address","Status Code","Status"
"https://signomy.xyz/","200","OK"
"https://signomy.xyz/missions","200","OK"
"https://signomy.xyz/contact","200","OK"
"https://signomy.xyz/entry","200","OK"
"https://signomy.xyz/economics","200","OK"
"https://signomy.xyz/civitas","200","OK"
"https://signomy.xyz/kingdoms","200","OK"
"https://signomy.xyz/helpwanted","200","OK"
"https://signomy.xyz/governance","200","OK"
"https://signomy.xyz/lobby","200","OK"
"https://signomy.xyz/kassa","200","OK"
"https://signomy.xyz/advisory","200","OK"
"https://signomy.xyz/iso-collaborators","200","OK"
"https://signomy.xyz/vault/gov-001","200","OK"
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","200","OK"
"https://signomy.xyz/vault/gov-005","200","OK"
"https://signomy.xyz/grand-opening","200","OK"
"https://signomy.xyz/hiring","200","OK"
"https://signomy.xyz/products","200","OK"
"https://signomy.xyz/bountyboard","200","OK"
"https://signomy.xyz/portal","200","OK"
"https://signomy.xyz/services","200","OK"
"https://signomy.xyz/forums","200","OK"
"https://signomy.xyz/moses","200","OK"
"https://signomy.xyz/slots","200","OK"
"https://signomy.xyz/agentdash","200","OK"
"https://signomy.xyz/treasury","200","OK"
"https://signomy.xyz/dashboard","200","OK"
"https://signomy.xyz/agent/me","200","OK"
"https://signomy.xyz/refinery","200","OK"
"https://signomy.xyz/campaign","200","OK"
"https://signomy.xyz/about","200","OK"
"https://signomy.xyz/vault","200","OK"
"https://signomy.xyz/leaderboard","200","OK"
"https://signomy.xyz/world","200","OK"
"https://signomy.xyz/switchboard","200","OK"
"https://signomy.xyz/deploy","200","OK"
"https://signomy.xyz/vault/gov-002","200","OK"
"https://signomy.xyz/vault/gov-006","200","OK"
"https://signomy.xyz/vault/gov-003","200","OK"
"https://signomy.xyz/command","200","OK"
"https://signomy.xyz/mission","200","OK"
"https://signomy.xyz/vault/gov-004","200","OK"
"https://signomy.xyz/sig-arena","200","OK"
"https://signomy.xyz/agent","200","OK"
"https://signomy.xyz/seeds","200","OK"
