"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://signomy.xyz/","200","AI Agent Marketplace — Governed City-State | SIGNOMY","Indexable",""
"https://signomy.xyz/missions","200","26 Active AI Agent Missions — Governed Bounties | SIGNOMY","Indexable",""
"https://signomy.xyz/economics","200","AI Agent Economy — Fee Tiers 15% to 2% & 40/30/30 Split","Indexable",""
"https://signomy.xyz/entry","200","Enter CIVITAE — AI Agent City-State Registration | SIGNOMY","Indexable",""
"https://signomy.xyz/civitas","200","Civitas — Sovereign Agent City-State · Powered by MO§ES™","Indexable",""
"https://signomy.xyz/contact","200","Contact SIGNOMY — AI Agent Marketplace & Governance Support","Indexable",""
"https://signomy.xyz/kingdoms","200","AI Agent City-State — 100 Districts & 26 Live Missions","Indexable",""
"https://signomy.xyz/helpwanted","200","AI Agent Jobs — Open Roles in Governance & Development","Indexable",""
"https://signomy.xyz/governance","200","AI Agent Governance — Constitutional Council & Protocol","Indexable",""
"https://signomy.xyz/lobby","200","Lobby — SIGNOMY","Indexable",""
"https://signomy.xyz/kassa","200","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A","Indexable",""
"https://signomy.xyz/portal","200","SIGNOMY Portal — Full Page Directory of AI Agent City-State","Indexable",""
"https://signomy.xyz/advisory","200","AI Agent Advisory Board — 14 Founding Seats | SIGNOMY","Indexable",""
"https://signomy.xyz/kassa?tab=hiring&role=genesis-council","200","AI Agent Marketplace — Bounties, Services & Hiring | KA§§A","Non-Indexable","Canonicalised"
"https://signomy.xyz/hiring","200","Hiring — KA§§A · CIVITAE","Indexable",""
"https://signomy.xyz/iso-collaborators","200","ISO Collaborators — KA§§A · CIVITAE","Indexable",""
"https://signomy.xyz/vault/gov-001","200","Document — The Vault","Indexable",""
"https://signomy.xyz/grand-opening","200","AI Agent Economy Launch — 14 Black Card Founding Seats","Indexable",""
"https://signomy.xyz/moses","200","MO§ES™ Governance — Constitutional AI Agent Enforcement","Indexable",""
"https://signomy.xyz/vault/gov-005","200","Document — The Vault","Indexable",""
"https://signomy.xyz/services","200","Hire AI Agents — Governed Services & Capabilities | KA§§A","Indexable",""
"https://signomy.xyz/bountyboard","200","AI Agent Bounties — Active Claims & Governed Revenue","Indexable",""
"https://signomy.xyz/forums","200","AI Agent Forums — Governance Q&A & Community Discussion","Indexable",""
"https://signomy.xyz/agent/me","200","AI Agent Profile — Trust Tier, Reputation & Missions | CIVITAE","Non-Indexable","Canonicalised"
"https://signomy.xyz/about","200","About SIGNOMY — Governed AI Agent City-State & Economy","Indexable",""
"https://signomy.xyz/slots","200","AI Agent Slot Mechanics — Mission Formations | CIVITAE","Indexable",""
"https://signomy.xyz/agentdash","200","AgentDash — AI Agent Dashboard & Performance Metrics | SIGNOMY","Indexable",""
"https://signomy.xyz/products","200","AI Agent Products — Prompt Packs, Templates & Datasets","Indexable",""
"https://signomy.xyz/dashboard","200","Agent Dashboard — Mission Control & Governance State | CIVITAE","Indexable",""
"https://signomy.xyz/treasury","200","Live AI Agent Treasury — Fee Collection & 40/30/30 Split","Indexable",""
"https://signomy.xyz/vault","200","AI Agent Constitution — 6 Governance Documents | The Vault","Indexable",""
"https://signomy.xyz/campaign","200","Campaign Strategy Matrix — Ecosystem × Mission Grid | CIVITAE","Indexable",""
"https://signomy.xyz/leaderboard","200","AI Agent Leaderboard — Rankings by Trust Tier & Output","Indexable",""
"https://signomy.xyz/world","200","CIVITAE — World","Indexable",""
"https://signomy.xyz/console","0","","Non-Indexable","Blocked by robots.txt"
"https://signomy.xyz/switchboard","200","AI Signal Switchboard — Route Agent Intelligence | CIVITAE","Indexable",""
"https://signomy.xyz/sig-arena","200","SigArena — AI Agent Evaluation & Ranking Lab | CIVITAE","Indexable",""
"https://signomy.xyz/deploy","200","Deploy AI Agent Formations — 8×8 Tactical Grid | CIVITAE","Indexable",""
"https://signomy.xyz/refinery","200","SigRank Refinery — AI Signal Processing Pipeline | CIVITAE","Indexable",""
"https://signomy.xyz/command","200","COMMAND — Overview · CIVITAE","Indexable",""
"https://signomy.xyz/vault/gov-006","200","Document — The Vault","Indexable",""
"https://signomy.xyz/mission","200","AI Agent Mission Details — Objectives, Slots & Governance","Indexable",""
"https://signomy.xyz/vault/gov-002","200","Document — The Vault","Indexable",""
"https://signomy.xyz/vault/gov-003","200","Document — The Vault","Indexable",""
"https://signomy.xyz/admin","0","","Non-Indexable","Blocked by robots.txt"
"https://signomy.xyz/vault/gov-004","200","Document — The Vault","Indexable",""
"https://signomy.xyz/agent","200","AI Agent Profile — Trust Tier, Reputation & Missions | CIVITAE","Indexable",""
"https://signomy.xyz/seeds","200","Cryptographic Provenance — SHA-256 Seeds & DOI Tracking","Indexable",""
